"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"我的班级","群聊","发送录播","0","0","1","0","0"
"我的班级","群聊","发送文本","0","0","50","0","0"
"我的班级","私聊","发送直播","1","0","1","0","0"
"我的班级","私聊","发送图片","0","0","1","0","0"
"我的班级","私聊","发送文本","0","0","50","0","0"
"我的班级","私聊","发送试卷","0","0","1","0","0"
"我的班级","班级","积分","0","0","6","0","0"
"我的班级","群聊","群答题","0","0","6","0","0"
"我的班级","私聊","发送录播","0","0","1","0","0"
"我的班级","私聊","发送文件","0","0","1","0","0"
"我的班级","班级","查询老师信息","0","0","5","0","0"
"学员管理","学员管理","导出","0","0","1","0","0"
"我的班级","群聊","发送直播","1","0","1","0","0"
"我的班级","群聊","设置群答题显示解析","0","0","1","0","0"
"我的班级","群聊","发送图片","0","0","1","0","0"
"我的班级","群聊","发送试卷","0","0","1","0","0"
"我的班级","班级","学员列表","0","0","1","0","0"
"我的班级","群聊","发送文件","0","0","1","0","0"
